"Trenner;""Person"";""Funktion"";""vorOrt"";""Sitzordnung"";""Rolle"";""Link""",
"@1;""Moderation"";""Hauptmoderator der Sendung"";""Ja"";""Innerer Kreis"," Mitte"";""Moderator"";""https://www.srf.ch/sendungen/arena/unersaettlich"""
"@2;""Off-Stimme"";""Stimme zu Einspielern/Beiträgen etc."";""-"";""-"";""-"";""-""",
"@3;""Anderes"";""Nicht gesprochene Annotationen"";""-"";""-"";""-"";""-""",
"@4;""Christa Markwalder"";""Nationalrätin FDP/BE"";""Ja"";""-1"";""Diskutant"";""-""",
"@5;""Tamara Funiciello"";""Präsidentin JUSO Schweiz"";""Ja"";""+2"";""Diskutant"";""-""",
"@6;""Thomas Minder"";""Ständerat parteilos/SH"";""-"";""Ja"";""+1"";""Diskutant""",
"@7;""Valentin Vogt"";""Präsident Schweizerischer Arbeitgeberverband"";""Ja"";""-2"";""Diskutant"";""-""",
"@8;""Ueli Mäder"";""emeritierter Professor Soziologie Universität Basel"";""Ja"";""Expertentisch"";""Experte"";""-""",
"@9;""Gabriel Fischer"";""Leiter Wirtschaftspolitik Travail Suisse"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@10;""Urs Klingler"";""Vergütungsexperte"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@11;""Roger Federer"";""Tennisspieler"";""Nein"";""-"";""im Gespräch erwähnt"";""-""",
"@12;""Tidjane Thiam"";""Konzernchef Credit Suisse"";""Nein"";""-"";""im Gespräch erwähnt"";""-""",
"@13;""Sergio Ermotti"";""Konzernchef UBS"";""Nein"";""-"";""im Gespräch erwähnt"";""-""",
"@14;""Thomas Häsler"";""Pensionierter Bankangestellter"";""Ja"";""aussen"";""Zuschauer"";""-""",
