Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/rente-nun-erst-mit-70
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Petra Gössi;Präsidentin FDP;Ja;Diskutant;-
@5;Albert Rösti;Präsident SVP;Ja;Diskutant;-
@6;Pirmin Bischof;Ständerat CVP;Ja;Diskutant;-
@7;Hans Stöckli;Ständerat SP;Ja;Diskutant;-
@8;Tamara Funiciello;Präsident JUSO Schweiz;Ja;Zuschauer;-
@9;Silja Häusermann;Politikwissenschaftlerin;Ja;Experte;-
@10;Renato Eustorgi;Rentner;Ja;Zuschauer;-
@11;Hanspeter Weibel;Rentner;Ja;Zuschauer;-
@12;Ruedi Steiner;Weinhändler;Ja;Zuschauer;-
