"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-initiative-grundeinkommen-2"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Alain Berset";"Bundesrat";"Ja";"Diskutant";"-"
"@5";"Daniel Straub";"Mitglied Initiativkomitee für bedingungsloses Grundeinkommen";"Ja";"Diskutant";"-"
"@6";"Petra Gössi";"Nationalrätin FDP/SZ";"Ja";"Diskutant";"-"
"@7";"Irina Studhalter";"Co-Präsidentin Junge Grüne LU";"Ja";"Diskutant";"-"
"@8";"Theo Wehner";"Arbeitspsychologe";"Ja";"Experte";"-"
"@9";"Valentin Vogt";"Direktor Arbeitgeberverband";"Ja";"Experte";"-"
"@10";"Kathrin Bertschy";"Nationalrätin GLP/BE";"Ja";"Zuschauer";"-"
"@11";"Stefan Knobel";"Krankenpfleger";"Ja";"Zuschauer";"-"
