"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-selbstbestimmungs-initiative"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Simonetta Sommaruga";"Bundesrätin";"Ja";"Diskutant";"-"
"@5";"Magdalena Martullo-Blocher";"Nationalrätin SVP/GR";"Ja";"Diskutant";"-"
"@6";"Hans-Ueli Vogt";"Nationalrat SVP/ZH";"Ja";"Diskutant";"-"
"@7";"Paul Widmer";"ex-Botschafter";"Ja";"Diskutant";"-"
"@8";"Urs Vögeli";"Politikwissenschafter";"Ja";"Diskutant";"-"
"@9";"Hans Moser";"Präsident EDU";"Ja";"Diskutant";"-"
"@10";"Philipp Müller";"Ständerat FDP/AG";"Ja";"Diskutant";"-"
"@11";"Heinz Karrer";"Präsident Economiesuisse";"ja";"Diskutant";"-"
"@12";"Andrea Huber";"Geschäftsführerin Schutzfaktor M";"Ja";"Diskutant";"-"
"@13";"Nicolo Paganini";"Nationalrat CVP/SG";"Ja";"Diskutant";"-"
