"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/renten-gut-steuern-gut-alles-gut"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Patti Basler";"Slam-Poetin";"Ja";"Andere";"-"
"@5";"Jacqueline Badran";"Nationalrätin SP/ZH";"Ja";"Diskutant";"-"
"@6";"Benjamin Fischer";"Präsident Junge SVP";"Ja";"Diskutant";"-"
"@7";"Balthasar Glättli";"Nationalrat Grüne/ZH";"Ja";"Diskutant";"-"
"@8";"Philipp Müller";"Nationalrat FDP/AG";"Ja";"Diskutant";"-"
"@9";"Erwin Von Dölling";"IT-Manager";"Ja";"Zuschauer";"-"
"@10";"Walter Signer";"Rentner";"Ja";"Zuschauer";"-"
"@11";"Philipp Egli";"Leiter Zentrum für Sozialrecht ZHAW";"Ja";"Experte";"-"
"@12";"Marius Brülhart";"Vize-Direktor Zentrum für Steuerpolitik Universität Lausanne";"Ja";"Experte";"-"
