"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/krim-krise-neutralitaet-auf-dem-pruefstand"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Doris Fiala";"Nationalrätin FDP Liberale/ZH";"Ja";"Diskutant";"+1"
"@5";"Laurent Goetschel";"Politologe";"Ja";"Diskutant";"+2"
"@6";"Adrian Amstutz";"Fraktionschef SVP";"Ja";"Diskutant";"-1"
"@7";"Roger Köppel";"Chefredaktor Weltwoche";"Ja";"Diskutant";"-2"
"@8";"Martin Naef";"Nationalrat SP/ZH";"Ja";"Zuschauer";"aussen"
"@9";"Beat Flach";"Nationalrat GLP/AG";"Ja";"Zuschauer";"aussen"
"@10";"Werner Gartenmann";"Geschäftsführer AUNS";"Ja";"Zuschauer";"aussen"
"@11";"Gerhard Pfister";"Nationalrat CVP/ZG";"Ja";"Zuschauer";"aussen"
"@12";"Oliver Diggelmann";"Professor für Völkerrecht Universität Zürich";"Ja";"Experte";"aussen"
"@13";"Josef Lang";"Vize-Präsident Grüne";"Ja";"Zuschauer";"aussen"
