"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/gespaltene-schweiz-das-duell"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Micheline Calmy-Rey";"ex-Bundesrätin";"Ja";"Diskutant";"+1"
"@5";"Christoph Blocher";"Nationalrat SVP/ZH";"Ja";"Diskutant";"-1"
"@6";"Viola Amherd";"Nationalrätin CVP/VS";"Ja";"Zuschauer";"aussen"
"@7";"Maria Bernasconi";"Nationalrätin SP/GE";"Ja";"Zuschauer";"aussen"
"@8";"Albert Rösti";"Nationalrat SVP/BE";"Ja";"Zuschauer";"aussen"
"@9";"Pierre Ruetschi";"Chefredaktor Tribune de Genève";"Ja";"Zuschauer";"aussen"
"@10";"Roger Köppel";"Chefredaktor Weltwoche";"Ja";"Zuschauer";"aussen"
"@11";"Joachim Eder";"Ständerat FDP Liberale/ZG";"Ja";"Zuschauer";"aussen"
"@12";"Bernhard Guhl";"Nationalrat BDP/AG";"Ja";"Zuschauer";"aussen"
"@13";"Josef Lang";"Vize-Präsident Grüne";"Ja";"Zuschauer";"aussen"
