"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-unternehmenssteuerreform-iii"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Ueli Maurer";"Bundesrat";"Ja";"Diskutant";"-"
"@5";"Anita Fetz";"Ständerätin SP";"Ja";"Diskutant";"-"
"@6";"Petra Gössi";"Präsidentin FDP";"Ja";"Diskutant";"-"
"@7";"Daniel Lampart";"Chefökonom Gewerkschaftsbund";"Ja";"Diskutant";"-"
"@8";"Gülsha Adilji";"Moderatorin";"Ja";"Experte";"-"
"@9";"Samedin Selimovic";"Social-Media-Star";"Ja";"Experte";"-"
NA;NA;NA;NA;NA;"-"
