Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/abstimmungs-arena-service-public-initiative
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Doris Leuthard;Bundesrätin;Ja;Diskutant;-
@5;Andreas Meyer;SBB-Chef;Nein;Sein Name wurde nur in der Sendung erwähnt;
@6;Philippe Wahl;Französische Post;Nein;Sein Name wurde nur in der Sendung erwähnt;
@7;Peter Salvisberg;Initiativ-Komitee «Pro Service Public»;Ja;Diskutant;-
@8;Matteo Cheda;Initiativ-Komitee «Pro Service Public»;Ja;Diskutant;-
@9;Corrado Pardini;Nationalrat SP/BE;Ja;Diskutant;-
@10;Jon Domenic Parolini;Regierungsrat GR/BDP;Ja;Zuschauer;-
@11;Daniel Engler;EDU Politiker;Ja;Zuschauer;-
@12;Zuschauer (namenlos);NA;Ja;Zuschauer;-
