"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-vollgeld-initiative"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Ueli Maurer";"Bundesrat";"Ja";"Diskutant";"-"
"@5";"Raffael Wüthrich";"Komitee Vollgeld-Initiative";"Ja";"Diskutant";"-"
"@6";"Martin Alder";"Komitee Vollgeld-Initiative";"Ja";"Diskutant";"-"
"@7";"Reinhold Harringer";"Komitee Vollgeld-Initiative";"Ja";"Diskutant";"-"
"@8";"Philippe Mastronardi";"Komitee Vollgeld-Initiative";"Ja";"Diskutant";"-"
"@9";"Pirmin Bischof";"Ständerat CVP/SO";"Ja";"Diskutant";"-"
"@10";"Yvonne Feri";"Nationalrätin SP/AG";"Ja";"Diskutant";"-"
"@11";"Rudolf Minsch";"Chefökonom Economiesuisse";"Ja";"Diskutant";"-"
