"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/masseneinwanderungsinitiative-der-bundesratsplan"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Viola Amherd";"Nationalrätin CVP/VS";"Ja";"Diskutant";"+1"
"@5";"Christoph Blocher";"Nationalrat SVP/ZH";"Ja";"Diskutant";"-1"
"@6";"Roland A. Müller";"Direktor Arbeitgeberverband";"Ja";"Diskutant";"-2"
"@7";"Corrado Pardini";"Nationalrat SP/BE";"Ja";"Diskutant";"+2"
"@8";"Benedikt Würth";"Volkswirtschaftsdirektor SG/CVP";"Ja";"Experte";"aussen"
"@9";"Mario Gattiker";"Direktor Bundesamt für Migration";"Ja";"Experte";"aussen"
"@10";"Beat Walti";"Nationalrat FDP/ZH";"Ja";"Zuschauer";"aussen"
"@11";"Josias Gasser";"Nationalrat GLP/GR";"Ja";"Zuschauer";"aussen"
"@12";"Balthasar Glättli";"Fraktionschef Grüne";"Ja";"Zuschauer";"aussen"
"@13";"Bernhard Guhl";"Nationalrat BDP/AG";"Ja";"Zuschauer";"aussen"
"@14";"Peter Vögeli";"Anwaltssekretär";"Nein";"andere";"Video"
"@15";"Therese Schmutz";"Therapeutin";"Nein";"andere";"Video"
"@16";"Priscilla Werner";"Pflegefachfrau";"Nein";"andere";"Video"
"@17";"Marco Glauser";"Lernender";"Nein";"andere";"Video"
"@18";"Maik Kaiser";"Plattenleger";"Nein";"andere";"Video"
"@19";"Brigitte Fonjallaz";"Betreuerin";"Nein";"andere";"Video"
