"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-asylgesetzrevision"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Simonetta Sommaruga";"Bundesrätin";"Ja";"Diskutant";"-"
"@5";"Toni Brunner";"Nationalrat SVP/SG";"Ja";"Diskutant";"-"
"@6";"Gerhard Pfister";"Nationalrat CVP/ZG";"Ja";"Diskutant";"-"
"@7";"Roger Köppel";"Nationalrat SVP/ZH";"Ja";"Diskutant";"-"
"@8";"Balthasar Glättli";"Nationalrat Grüne/ZH";"Ja";"Zuschauer";"-"
"@9";"Sandra Sollberger";"Nationalrätin SVP/BL";"Ja";"Zuschauer";"-"
"@10";"Walter Kälin";"Professor für Völkerrecht";"Ja";"Experte";"-"
"@11";"Ansgar Gmür";"Direktor Hauseigentümerverband";"Ja";"Experte";"-"
"@12";"Markus Somm";"Chefredaktor Basler Zeitung";"Ja";"Zuschauer";"-"
