"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-durchsetzungsinitiative"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Simonetta Sommaruga";"Bundesrätin";"Ja";"Diskutant";"-"
"@5";"Toni Brunner";"SVP vs. Rest";"Ja";"Diskutant";"-"
"@6";"Gregor Rutz";"Nationalrat SVP/ZH";"Ja";"Diskutant";"-"
"@7";"Thomas Hansjakob";"Staatsanwalt";"Ja";"Experte";"-"
"@8";"Andrea Caroni";"Ständerat FDP/AR";"Ja";"Diskutant";"-"
"@9";"Markus Melzl";"ex-Staatsanwalt";"Ja";"Experte";"-"
"@10";"Lorenz Hess";"Nationalrat BDP/BE";"Ja";"Andere";"-"
"@11";"Stefanie Menth";"Geschäftsführerin EDU";"Ja";"Andere";"-"
