"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/angst-vor-dem-islam"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Hugo Stamm";"Journalist {opa)";"Ja";"Experte";"-"
"@5";"Roger Fuchs";"Lastwagenfahrer";"Ja";"Zuschauer";"-"
"@6";"Nicolas Blancho";"Islamischer Zentralrat Schweiz";"Ja";"Diskutant";"-"
"@7";"Sakib Halilovic";"Vereinigung Islamische Organisationen ZH keine k";"Ja";"Diskutant";"-"
"@8";"Jasmin El Sonbati";"Forum für einen fortschrittlichen Islam";"Ja";"Diskutant";"-"
"@9";"Montassar BenMrad";"Präsident islamischer Dachorganisationen FIDS rK";"Ja";"Diskutant";"-"
"@10";"Driton Deda";"Marketingexperte";"Ja";"Zuschauer";"-"
"@11";"Beatrix Grüter";"Lehrerin";"Ja";"Zuschauer";"-"
"@12";"Zerrin Desole";"Hausfrau";"Ja";"Zuschauer";"-"
"@13";"Sabrija Celebic";"Student";"Ja";"Zuschauer";"-"
"@14";"Corina Asta";"Befragte";"Ja";"Zuschauer";NA
