"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-zweite-gotthardroehre"
"@2";"Off-Stimme";"Sanierung, Verladestationen";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Doris Leuthard";"Bundesrätin";"Ja";"Diskutant";"-"
"@5";"Jon Pult";"Präsident Alpeninitiative";"Ja";"Diskutant";"-"
"@6";"Ulrich Giezendanner";"Nationalrat SVP/AG (musterkravatte)";"Ja";"Diskutant";"-"
"@7";"Regula Rytz";"Co-Präsidentin Grüne";"Ja";"Diskutant";"-"
"@8";"Jürg Grossen";"Nationalrat GLP/BE";"Ja";"Andere";"-"
"@9";"Thierry Burkart";"Nationalrat FDP/AG";"Ja";"Andere";"-"
"@10";"Markus Züst";"Regierungsrat UR/SP (Brille)";"Ja";"Experte";"-"
"@11";"Norman Gobbi";"Regierungsrat TI/Lega (Dicker)";"Ja";"Experte";"-"
