"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/ungebremste-mobilitaet"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Evi Allemann";"Nationalrätin SP";"Ja";"Diskutant";"-"
"@5";"Thomas Hurter";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@6";"Balthasar Glättli";"Nationalrat Grüne/ZH";"Ja";"Diskutant";"-"
"@7";"Andreas Burgener";"Direktor Auto Schweiz";"Ja";"Diskutant";"-"
"@8";"Thomas Sauter-Servaes";"Studienleiter Verkehrssysteme ZHAW";"Ja";"Experte";"-"
"@9";"Felix Egolf";"ex-Pilot";"Ja";"Zuschauer";"-"
"@10";"Urs Christoffel";"Unternehmer";"Ja";"Zuschauer";"-"
"@11";"Rolf Hauerter";"Architekt";"Ja";"Zuschauer";"-"
"@12";"Daniel Bühler";"Kaufmann";"Ja";"Zuschauer";"-"
