"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/service-public-die-publikumsdebatte"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"René Sigrist";"Rentner";"Ja";"Zuschauer";"-"
"@5";"Regula Rytz";"Co-Präsidentin Grüne";"Ja";"Diskutant";"-"
"@6";"Peter Salvisberg";"Initiant «Pro Service Public»";"Ja";"Diskutant";"-"
"@7";"Stefan Müller";"Hotelangestellter";"Ja";"Zuschauer";"-"
"@8";"Noel Blaser";"SBB-Mitarbeiter";"Ja";"Zuschauer";"-"
"@9";"Werner Maag";"Unternehmer";"Ja";"Zuschauer";"-"
"@10";"Markus Bon";"Büroleiter";"Ja";"Zuschauer";"-"
"@11";"Martin Bundi";"Unternehmer";"Ja";"Zuschauer";"-"
"@12";"Elöd Mata";"Swisscom-Mitarbeiter";"Ja";"Zuschauer";"-"
"@13";"Markus Remund";"Maschinist";"Ja";"Zuschauer";"-"
