"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/no-billag-ja-oder-nein"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Olivier Kessler";"Co-Präsident ""No Billag""";"Ja";"Diskutant";"-"
"@5";"Edith Graf-Litscher";"Nationalrätin SP";"Ja";"Diskutant";"-"
"@6";"Kurt Fluri";"Nationalrat FDP";"Ja";"Diskutant";"-"
"@7";"Gregor Rutz";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@8";"Jean-Michel Cina";"Präsident SRG";"Ja";"Diskutant";"-"
"@9";"Dieter Spiess";"Schweizerischer Gewerbeverband";"Ja";"Diskutant";"-"
"@10";"André Moesch";"Präsident Telesuisse";"Ja";"Diskutant";"-"
"@11";"Andreas Kleeb";"Verantwortlicher Kommunikation ""No Billag""";"Ja";"Diskutant";"-"
"@12";"Erich Veit";"Wirtschaftslehrer";"Ja";"Zuschauer";NA
"@13";"Schlüer 1";NA;"Ja";"Zuschauer";NA
"@14";"Christian Schöpfer";"Student";"Ja";"Zuschauer";NA
