Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/abstimmungs-arena-aenderung-fortpflanzungsmedizin-2
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Alain Berset;Bundesrat;Ja;Diskutant;-
@5;Yvette Estermann;Nationalrat SVP/LU;Ja;Diskutant;-
@6;Marianne Streiff-Feller;Nationalrätin EVP/BE;Ja;Diskutant;-
@7;Regine Sauter;Nationalrätin FDP/ZH;Ja;Diskutant;-
@8;Bruno Imthurn;Fortpflanzungsmediziner;Ja;Experte;-
@9;Martin Friedli;EDU Geschäftsleitung;Ja;Zuschauer;-
@10;Rosmarie Quandranti;Nationalrätin BDP/ZH;Ja;Zuschauer;-
@11;Christine Häsler;Nationalrätin Grüne/BE;Nein;Andere;-
@12;Madeleine Flüeler;"Vorstand ""Insieme""";Ja;Diskutant;-
@13;Ruth Humbel;Nationalrätin CVP/AG;Nein;Andere;-
