"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/der-eu-showdown-teil-1"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Tiana Angelina Moser";"Nationalrätin GLP/ZH";"Ja";"Diskutant";"-"
"@5";"Corrado Pardini";"Nationalrat SP/BE";"Ja";"Diskutant";"-"
"@6";"Philipp Müller";"Ständerat FDP";"Ja";"Diskutant";"-"
"@7";"Christoph Blocher";"ex-Bundesrat";"Ja";"Diskutant";"-"
"@8";"Filippo Lombardi";"Ständerat CVP";"Ja";"Diskutant";"-"
"@9";"Laura Zimmermann";"Operation Libero";"Ja";"Diskutant";"-"
"@10";"Jean-Philippe Kohl";"Direktor Swissmem";"Ja";"Diskutant";"-"
"@11";"Michael Hengartner";"Rektor Universität Zürich";"Ja";"Diskutant";"-"
