"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/schweiz-ohne-gott"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Montassar BenMrad";"Präsident islamischer Dachorganisationen FIDS";"Ja";"Diskutant";"-"
"@5";"Gerhard Pfister";"Nationalrat CVP/ZG {anzug}";"Ja";"Diskutant";"-"
"@6";"Charles Lewinsky";"Schriftsteller";"Ja";"Diskutant";"-"
"@7";"Giuseppe Gracia";"Bistum Chur {bart}";"Ja";"Diskutant";"-"
"@8";"Beatrix Grüter";"Lehrerin";"Ja";"Zuschauer";"-"
"@9";"Janine Dahinden";"Soziologin";"Ja";"Experte";"-"
"@10";"Vitus Huonder";"Bischof Bistum Chur";"Ja";"Zuschauer";"-"
"@11";"Simonetta Sommaruga";"Bundesrätin";"Nein";"Andere";"-"
"@12";"Rolf Blum";"Lokomotivführer";"Ja";"Zuschauer";"-"
"@13";"Valentin Abgottspon";"Lehrer";"Ja";"Zuschauer";"-"
"@14";"Robert Tobler";"Werber";"Ja";"Zuschauer";"-"
"@15";"Sybil Jaeger";"ex-Bankangestellte";"Ja";"Zuschauer";"-"
"@16";"Raffael Sommerhalder";"Theologiestudent";"Ja";"Zuschauer";"-"
