"Trenner;""Person"";""Funktion"";""vorOrt"";""Rolle"";""Link"""
"@1;""Moderation"";""Hauptmoderator der Sendung"";""Ja"";""Moderator"";""https://www.srf.ch/sendungen/arena/tschuess-sp"""
"@2;""Off-Stimme"";""Stimme zu Einspielern/Beiträgen etc."";""-"";""-"";""-"""
"@3;""Anderes"";""Nicht gesprochene Annotationen"";""-"";""-"";""-"""
"@4;""Chantal Galladé"";""ex-Nationalrätin SP/ZH"";""Ja"";""Diskutant"";""-"""
"@5;""Daniel Jositsch"";""Ständerat SP"";""Ja"";""Diskutant"";""-"""
"@6;""Roger Nordmann"";""Nationalrat SP/VD"";""Ja"";""Diskutant"";""-"""
"@7;""Daniel Lampart"";""Chefökonom Gewerkschaftsbund"";""Ja"";""Diskutant"";""-"""
"@8;""Beat Walti"";""Nationalrat FDP/ZH"";""Ja"";""Zuschauer"";""-"""
"@9;""Thomas Matter"";""Nationalrat SVP/ZH"";""Ja"";""Zuschauer"";""-"""
"@10;""Tiana Angelina Moser"";""Nationalrätin GLP/ZH"";""Ja"";""Zuschauer"";""-"""
"@11;""Alessandro Pelizzari"";""Präsident Gewerkschaftsbund Genf"";""Ja"";""Zuschauer"";""-"""
"@12;""Mattea Meyer"";""Nationalrätin SP/ZH"";""Nein"";""Zitat"";""-"""
"@13;""Min Li Marti"";""Nationalrätin SP/ZH"";""Nein"";""Zitat"";""-"""
"@14;""Corrado Pardini"";""Nationalrat SP/BE"";""Nein"";""Video"";""-"""
"@15;""Paul Rechsteiner"";""Ständerat SP/SG"";""Nein"";""Video"";""-"""
"@16;""Christian Levrat"";""Präsident SP"";""Nein"";""Zitat"";""-"""
