"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/umsetzen-oder-umkehren-zuwanderungs-initiative-nach-ecopop-nein"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Doris Fiala";"Nationalrätin FDP Liberale/ZH";"Ja";"Diskutant";"-1"
"@5";"Jacqueline Fehr";"Vize-Präsidentin SP";"Ja";"Diskutant";"+1"
"@6";"Christoph Blocher";"Vize-Präsident SVP";"Ja";"Diskutant";"-2"
"@7";"Georg Lutz";"Politologe";"Ja";"Experte";"aussen"
"@8";"Christa Tobler";"Rechtsprofessorin";"Ja";"Experte";"aussen"
"@9";"Tiana Angelina Moser";"Fraktionschefin GLP";"Ja";"Zuschauer";"aussen"
"@10";"Balthasar Glättli";"Fraktionschef Grüne";"Ja";"Zuschauer";"aussen"
"@11";"Stefan Müller-Altermatt";"Nationalrat CVP/SO";"Ja";"Zuschauer";"aussen"
"@12";"Bernhard Guhl";"Nationalrat BDP/AG";"Ja";"Zuschauer";"aussen"
"@13";"Thomas Geiser";"Professor für Privat- und Handelsrecht Uni SG";"Ja";"Diskutant";"+2"
