"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/schnueffeln-im-sozialstaat"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Barbara Steinemann";"Nationalrätin SVP";"Ja";"Diskutant";"-"
"@5";"Ruth Humbel";"Nationalrätin CVP";"Ja";"Diskutant";"-"
"@6";"Silvia Schenker";"Nationalrätin SP";"Ja";"Diskutant";"-"
"@7";"Christine Häsler";"Nationalrätin Grüne/BE";"Ja";"Diskutant";"-"
"@8";"Alex Baur";"Journalist";"Ja";"Diskutant";"-"
"@9";"Hans Fleischli";"Rentner";"Ja";"Zuschauer";"-"
"@10";"Julien Neruda";"Geschäftsleiter Inclusion Handicap";"Ja";"Zuschauer";"-"
"@11";"Brigitte Obrist";"IV-Rentnerin";"Ja";"Zuschauer";"-"
"@12";"Roger Freiburghaus";"Psychiatriepflegefachmann";"Ja";"Zuschauer";"-"
"@13";"Daniel Dini";"Sozialhilfebezüger";"Ja";"Zuschauer";"-"
"@14";"Zuschauer 1";NA;"Ja";"Zuschauer";"-"
"@15";"Zuschauerin 2";NA;"Ja";"Zuschauer";"-"
"@16";"Zuschauer 4";NA;"Ja";"Zuschauer";"-"
