"Trenner";"Person";"Funktion";"vorOrt";"Sitzordnung";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Innerer Kreis, Mitte";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-neue-eu-waffenrichtlinie"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-";"-"
"@4";"Karin Keller-Sutter";"Bundesrätin";"Ja";"+1";"Diskutant";"-"
"@5";"Werner Salzmann";"Nationalrat SVP/BE";"Ja";"-2";"Diskutant";"-"
"@6";"Luca Filippini";"Präsident Interessengemeinschaft Schiessen Schweiz";"Ja";"-1";"Diskutant";"-"
"@7";"Stefan Holenstein";"Präsident Schweizerische Offiziersgesellschaft";"Ja";"Expertentisch";"Experte";"-"
"@8";"Ines Kessler";"Büchsenmacherin in Ausbildung";"Ja";"aussen";"Zuschauerin";"-"
"@9";"Joel Haefeli";"Schütze";"Ja";"aussen";"Zuschauer";"-"
"@10";"Daniel Jositsch";"Nationalrat SP/ZH";"Ja";"+2";"Diskutant";"-"
"@11";"Stefan Blättler";"Präsident Konferenz der Kantonalen Polizeikommandanten";"Ja";"Expertentisch";"Experte";"-"
"@12";"Ida Glanzmann-Hunkeler";"Nationalrätin CVP/LU";"Ja";"aussen";"Zuschauerin";"-"
"@13";"Andreas Züllig";"Präsident Hotellerie Suisse";"Ja";"aussen";"Zuschauer";"-"
