"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-initiative-fuer-ernaehrungssouveraenitaet"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Johann Schneider-Ammann";"Bundesrat";"Ja";"Diskutant";"-"
"@5";"Ulrike Minkner";"Vizepräsidentin Allianz für Ernährungssouveränität";"Ja";"Diskutant";"-"
"@6";"Rudi Berli";"Initiativkomitee Ernährungssouveränität";"Ja";"Diskutant";"-"
"@7";"Fabian Molina";"Nationalrat SP";"Ja";"Diskutant";"-"
"@8";"Balthasar Glättli";"Nationalrat Grüne/ZH";"Ja";"Diskutant";"-"
"@9";"Viola Amherd";"Nationalrätin CVP";"Ja";"Diskutant";"-"
"@10";"Christa Markwalder";"Nationalrätin FDP/BE";"Ja";"Diskutant";"-"
"@11";"Martin Schuler";"SVP/ZG";"Ja";"Diskutant";"-"
