"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/die-auto-schweiz"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Thierry Burkart";"Nationalrat FDP/AG";"Ja";"Diskutant";"-"
"@5";"Evi Allemann";"Nationalrätin SP/BE";"Ja";"Diskutant";"-"
"@6";"Walter Wobmann";"Nationalrat SVP/SO";"Ja";"Diskutant";"-"
"@7";"Bastien Girod";"Nationalrat Grüne/ZH";"Ja";"Diskutant";"-"
"@8";"Dominic Van der Zypern";"Mathematiker";"Ja";"Zuschauer";"-"
"@9";"Christian Fichter";"Wirtschaftspsychologe";"Ja";"Experte";"-"
"@10";"Fabian Weyermann";"Lastwagenfahrer";"Ja";"Zuschauer";"-"
"@11";"Walter Grosche";"Unternehmer";"Ja";"Zuschauer";"-"
"@12";"Roger Bachmann";"Biologe";"Ja";"Zuschauer";"-"
"@13";"Nicolas Alonso";"Lehrling";"Ja";"Zuschauer";"-"
"@14";"Filippo Muscara";"Grafiker";"Ja";"Zuschauer";"-"
