"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/zuwanderung-beschraenken"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Jacqueline Fehr";"Nationalrätin SP/ZH";"Ja";"Diskutant";"+2"
"@5";"Pirmin Bischof";"Nationalrat CVP/SO";"Ja";"Diskutant";"-2"
"@6";"Thomas Daum";"Direktor Arbeitgeberverband";"Ja";"Diskutant";"+1"
"@7";"Luzi Stamm";"Nationalrat SVP/AG";"Ja";"Diskutant";"-2"
"@8";"Andrea Caroni";"Nationalrat FDP Liberale/AR";"Ja";"Zuschauer";"aussen"
"@9";"Lorenz Hess";"Vize-Präsident BDP";"Ja";"Zuschauer";"aussen"
"@10";"Beat Flach";"Nationalrat GLP/AG";"Ja";"Zuschauer";"aussen"
"@11";"Bastien Girod";"Nationalrat Grüne/ZH";"Ja";"Zuschauer";"aussen"
"@12";"Peter Gottwald";"Deutscher Botschafter";"Ja";"Zuschauer";"aussen"
"@13";"Jonas Projer";"Korrespondent SRF";"Ja";"Zuschauer";"aussen"
"@14";"Andreas Thommen";"Geschäftsführer Exopop";"Ja";"Zuschauer";"aussen"
