"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-milchkuh-initiative"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Evi Allemann";"Nationalrätin SP/BE";"Ja";"Diskutant";"-"
"@5";"Andreas Burgener";"Direktor Auto Schweiz";"Ja";"Diskutant";"-"
"@6";"Filippo Lombardi";"Ständerat CVP/TI";"Ja";"Diskutant";"-"
"@7";"Walter Wobmann";"Nationalrat SVP/SO";"Ja";"Diskutant";"-"
"@8";"Serge Gaillard";"Direktor Seco";"Ja";"Experte";"-"
"@9";"Henrique Schneider";"Schweizerischer Gewerbeverband";"Ja";"Experte";"-"
"@10";"Bernhard Taeschler";"Präsident ACS Mitte";"Ja";"Zuschauer";"-"
"@11";"Matthias Samuel Jauslin";"Nationalrat FDP/AG";"Ja";"Zuschauer";"-"
