"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/unternehmenssteuer-reform-iii-wir-schaffen-klarheit"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Ruedi Noser";"Ständerat FDP/ZH";"Ja";"Diskutant";"-"
"@5";"Jacqueline Badran";"Nationalrätin SP/ZH";"Ja";"Diskutant";"-"
"@6";"Thomas Matter";"Nationalrat SVP/ZH";"Ja";"Diskutant";"-"
"@7";"Pirmin Bischof";"Ständerat CVP/SO";"Ja";"Diskutant";"-"
"@8";"Tobias Straumann";"Wirtschaftshistoriker";"Ja";"Experte";"-"
"@9";"Karl Hodel";"Treuhänder";"Ja";"Zuschauer";"-"
"@10";"Christian Stiefel";"Swiss Holdings";"Ja";"Zuschauer";"-"
"@11";"Beat Sommer";"Betriebswirtschaftler";"Ja";"Zuschauer";"-"
"@12";"Alexandre Schmidt";"Finanzdirektor Stadt Bern";"Ja";"Zuschauer";"-"
