"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-einbuergerung-dritte-generation"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Simonetta Sommaruga";"Bundesrätin";"Ja";"Diskutant";"-"
"@5";"Kurt Fluri";"Nationalrat FDP";"Ja";"Diskutant";"-"
"@6";"Andreas Glarner";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@7";"Gülsha Adilji";"Moderatorin";"Ja";"Andere";"-"
"@8";"Zeki Bulgurcu";"Social-Media-Star";"Ja";"Andere";"-"
"@9";"Markus Wäfler";"ex-Nationalrat EDU";"Ja";"Diskutant";"-"
"@10";"Elena Marti";"Grüne/ZH";"Ja";"Zuschauer";"-"
"@11";"Adrian Pulver";"Zentralsekretär Schweizer Demokraten";"Ja";"Zuschauer";"-"
"@12";"Unbekannt 1";"Befragte aus dem Publikum";"Ja";"Zuschauer";NA
"@13";"Unbekannt 2";"Befragte aus dem Publikum";"Ja";"Zuschauer";NA
"@14";"Unbekannt 3";"Befragte aus dem Publikum";"Ja";"Zuschauer";NA
