"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/praesidialarena-mit-didier-burkhalter"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Didier Burkhalter";"Bundespräsident";"Ja";"Diskutant";"-"
"@5";"Christa Markwalder";"Nationalrätin FDP Liberale/BE";"Ja";"Zuschauer";"-"
"@6";"Elisabeth Schneider-Schneiter";"Nationalrätin CVP/BL";"Ja";"Zuschauer";"-"
"@7";"Thomas Aeschi";"Nationalrat SVP/ZG";"Ja";"Zuschauer";"-"
"@8";"Balthasar Glättli";"Nationalrat Grüne/ZH";"Ja";"Zuschauer";"-"
"@9";"Lukas Lanzrein";"Juns";"Ja";"Zuschauer";"-"
"@10";"Jean Christophe Schwaab";"Nationalrat SP/VD";"Ja";"Zuschauer";"-"
"@11";"Max Spring";"Cartoonist";"Ja";"andere ";"-"
"@12";"Florentin Weibel";"Co-Präsident Yes";"Ja";"Zuschauer";"-"
"@13";"Yannick Schumacher";"Handelsschüler";"Ja";"Zuschauer";"-"
"@14";"Eylem Unudulur";"Handelsschülerin";"Ja";"Zuschauer";"-"
"@15";"Rebecca Jäggi";"Handelsschülerin";"Ja";"Zuschauer";"-"
"@16";"Dominique Saner";"Handelsschüler";"Ja";"Zuschauer";"-"
"@17";"Lea Plösser";"Handelsschülerin";"Ja";"Zuschauer";"-"
"@18";"Jonas Witmer";"Handelsschüler";"Ja";"Zuschauer";"-"
