"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/kriminaltourismus-grenzen-setzen"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Karin Keller-Sutter";"Ständerätin FDP Liberale/SG";"Ja";"Diskutant";"-1"
"@5";"Adrian Amstutz";"Nationalrat SVP/BE";"Ja";"Diskutant";"-2"
"@6";"Christophe Darbellay";"Nationalrat CVP/VS";"Ja";"Diskutant";"+1"
"@7";"Hans-Jürg Fehr";"Nationalrat SP/SH";"Ja";"Diskutant";"+2"
"@8";"Jürg Noth";"Chef Grenzwachtkorps";"Ja";"Zuschauer";"aussen"
"@9";"Thomas Maier";"Nationalrat GLP/ZH";"Ja";"Zuschauer";"aussen"
"@10";"Hans Stutz";"Grüne/LU";"Ja";"Zuschauer";"aussen"
"@11";"Urs Winzenried";"Kommandant Kantonspolizei AG";"Ja";"Zuschauer";"aussen"
"@12";"Mario Gattiker";"Direktor Bundesamt für Migration";"Ja";"Zuschauer";"aussen"
"@13";"Beat Meiner";"Schweizerische Flüchtlingshilfe";"Ja";"Zuschauer";"aussen"
"@14";"Bernhard Guhl";"Nationalrat BDP/AG";"Ja";"Zuschauer";"aussen"
