"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/kampf-um-die-jets-bundesrat-parmelin-in-der-arena"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Guy Parmelin";"Bundesrat";"Ja";"Diskutant";"-"
"@5";"Rosmarie Quadranti";"Nationalrätin BDP";"Ja";"Diskutant";"-"
"@6";"Adrian Amstutz";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@7";"Balthasar Glättli";"Nationalrat Grüne/ZH";"Ja";"Diskutant";"-"
"@8";"Markus Gygax";"ex-Chef Luftwaffe";"Ja";"Experte";"-"
"@9";"Lewin Lempert";"Sekretär GSoA";"Ja";"Diskutant";"-"
"@10";"Peter Baumann";"Rentner";"Ja";"Zuschauer";"-"
"@11";"Christian Schroff";"Anwalt";"Ja";"Zuschauer";"-"
