"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/wer-wird-bundesrat"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Petra Gössi";"Präsidentin FDP";"Ja";"Diskutant";"-"
"@5";"Gerhard Pfister";"Präsident CVP";"Ja";"Diskutant";"-"
"@6";"Albert Rösti";"Präsident SVP";"Ja";"Diskutant";"-"
"@7";"Christian Levrat";"Präsident SP";"Ja";"Diskutant";"-"
"@8";"Martin Landolt";"Präsident BDP";"Ja";"Zuschauer";"-"
"@9";"Jürg Grossen";"Präsident GLP";"Ja";"Zuschauer";"-"
"@10";"Regula Rytz";"Präsidentin Grüne";"Ja";"Zuschauer";"-"
"@11";"Ignazio Cassis";"Bundesratskandidat";"Nein";"andere";"-"
"@12";"Isabelle Moret";"Bundesratskandidatin FDP";"Nein";"andere";"-"
"@13";"Pierre Maudet";"Bundesratskandidat FDP";"Nein";"andere";"-"
"@14";"Didier Burkhalter";"Bundesrat";"Nein";"andere";"-"
