"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/schoene-bescherung"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Christian Rutishauser";"Jesuitenpater";"Ja";"Diskutant";"-"
"@5";"Julia Onken";"Psychotherapeutin";"Ja";"Diskutant";"-"
"@6";"Christoph Sigrist";"Pfarrer Grossmünster Zürich";"Ja";"Diskutant";"-"
"@7";"Valentin Abgottspon";"Präsident Freidenker Wallis";"Ja";"Diskutant";"-"
"@8";"Eveline Mäder";"Medizinische Praxisassistentin";"Ja";"Zuschauer";"-"
"@9";"Daniel Käser";"Werklehrer";"Ja";"Zuschauer";"-"
"@10";"Esther Spycher";"Rentnerin";"Ja";"Zuschauer";"-"
"@11";"Thomas Herbert";"CEO Globus";"Ja";"Zuschauer";"-"
"@12";"Pablo Caprez";"Kantonsschüler";"Ja";"Zuschauer";"-"
"@13";"Lara Wichser";"Kantonsschülerin";"Ja";"Zuschauer";"-"
"@14";"Adnan Wahhoud";"Ingenieur";"Ja";"Zuschauer";"-"
"@15";"Zuschauer 1";NA;"Ja";"Zuschauer";NA
