"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-geldspielgesetz"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Simonetta Sommaruga";"Bundesrätin";"Ja";"Diskutant";"-"
"@5";"Marcel Dobler";"Nationalrat FDP/SG";"Ja";"Diskutant";"-"
"@6";"Luzian Franzini";"Co-Präsident Junge Grüne";"Ja";"Diskutant";"-"
"@7";"Sibel Arslan";"Nationalrätin Grüne/BS";"Ja";"Diskutant";"-"
"@8";"Pascal Vuichard";"Co-Präsident Junge GLP";"Ja";"Diskutant";"-"
"@9";"Benedikt Würth";"Präsident Konferenz der Kantonsregierungen";"Ja";"Diskutant";"-"
"@10";"Martin Candinas";"Nationalrat CVP/GR";"Ja";"Diskutant";"-"
"@11";"Adrian Wüthrich";"Grossrat SP/BE";"Ja";"Diskutant";"-"
