"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/eurokrise-fragen-und-antworten"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Daniel Kalt";"Chefökonom UBS";"Ja";"Diskutant";"-2"
"@5";"Daniel Lampart";"Chefökonom SGB";"Ja";"Diskutant";"+2"
"@6";"Reto Lipp";"Wirtschaftsexperte SFR";"Ja";"Diskutant";"+1"
"@7";"Klaus Wellershoff";"Ökonom";"Ja";"Diskutant";"-1"
"@8";"Werner Van Gent";"Griechenland-Korrespondent";"Nein";"Experte";"via Video"
"@9";"Jonas Projer";"Korrespondent SF";"Ja";"Experte";"aussen"
"@10";"Andrea Caroni";"Nationalrat FDP Liberale/AR";"-Ja";"Zuschauer";"aussen"
"@11";"Jacqueline Badran";"Nationalrätin SP/ZH";"Ja";"Zuschauer";"aussen"
"@12";"Markus Ritter";"Nationalrat CVP/SG";"Ja";"Zuschauer";"aussen"
"@13";"Mario Lütolf";"Direktor Schweizer Tourismusverband";"Ja";"Zuschauer";"aussen"
"@14";"Thomas Aeschi";"Nationalrat SVP/ZG";"Ja";"Zuschauer";"aussen"
