"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-ueberwachung-sozialversicherte"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Alain Berset";"Bundesrat";"Ja";"Diskutant";"-"
"@5";"Dimitri Rougy";"Referendumskomitee ""Gegen Versicherungsspione""";"Ja";"Diskutant";"-"
"@6";"Silvia Schenker";"Nationalrätin SP/BS";"Ja";"Diskutant";"-"
"@7";"Balthasar Glättli";"Nationalrat Grüne/ZH";"Ja";"Diskutant";"-"
"@8";"Benjamin Gautschi";"Co-Präsident liberales Komitee ""Nein zur Kamera im Schlafzimmer""";"Ja";"Diskutant";"-"
"@9";"Markus Schefer";"Professor für Staats- und Verwaltungsrecht";"Ja";"Diskutant";"-"
"@10";"Ruth Humbel";"Nationalrätin CVP/AG";"Ja";"Diskutant";"-"
"@11";"Heinz Brand";"Nationalrat SVP/GR";"Ja";"Diskutant";"-"
"@12";"Monika Dudle-Ammann";"Präsidentin IV-Stellen-Konferenz";"Ja";"Diskutant";"-"
"@13";"Jürg Brechbühl";"Direktor Bundesamt für Sozialversicherung";"Ja";"Diskutant";"-"
