"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/bilaterale-am-ende"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Karin Keller-Sutter";"Ständerätin FDP Liberale/SG";"Ja";"Diskutant";"-1"
"@5";"Luzi Stamm";"Nationalrat SP/ZH";"Ja";"Diskutant";"-2"
"@6";"Hans-Jürg Fehr";"Nationalrat SP/SH";"Ja";"Diskutant";"+2"
"@7";"Gerhard Pfister";"Nationalrat CVP/ZG";"Ja";"Diskutant";"+1"
"@8";"Henri Gétaz";"Vorsteher Immigrationsbüro EDA";"Ja";"Experte";"aussen"
"@9";"Jonas Projer";"Korrespondent SF";"Ja";"Experte";"aussen"
"@10";"Christa Tobler";"Rechtsprofessorin";"Ja";"Experte";"aussen"
"@11";"Martin Bäumle";"Nationalrat GLP/ZH";"Ja";"Diskutant";"aussen"
"@12";"Alec Von Graffenried";"Nationalrat Grüne/BE";"Ja";"Diskutant";"aussen"
"@13";"Bernhard Guhl";"Nationalrat BDP/AG";"Ja";"Diskutant";"aussen"
"@14";"Anian Liebrand";"Junge SVP LU";"Ja";"Diskutant";"aussen"
"@15";"Zuschauer";"Jugendparlament Emmen";"Ja";"Zuschauer";"aussen"
"@16";"Zuschauer";"Jugendparlament Emmen";"Ja";"Zuschauer";"aussen"
"@17";"Zuschauer";"Jugendparlament Emmen";"Ja";"Zuschauer";"aussen"
