Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/das-jahr-der-populisten
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Flavia Kleiner;Co-Präsidentin Operation Libero;Ja;Diskutant;-
@5;Johannes Hübner;FPÖ-Politiker;Ja;Diskutant;-
@6;Philipp Müller;Ständerat FDP/AG;Ja;Diskutant;-
@7;Oskar Freysinger;Vizepräsident SVP;Ja;Diskutant;-
@8;Michael Hermann;Politgeograf;Ja;Experte;-
@9;Hillary Clinton;Präsidentschaftskandidatin Demokraten;Nein;Andere;-
@10;Hans Stutz;Journalist;Ja;Zuschauer;-
@11;Harry Brack;Metallbauer;Ja;Zuschauer;-
@12;Battesta Albin;Bergführer;Ja;Zuschauer;-
@13;Anderegger;NA;Ja;Zuschauer;NA
@15;Zuschauer 1;NA;Ja;Zuschauer;NA
