"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-volksinitiative-gegen-masseneinwanderung"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Adrian Amstutz";"Fraktionschef SVP";"Ja";"Diskutant";"-1"
"@5";"Thomas Minder";"Ständerat parteilos/SH";"Ja";"Diskutant";"-2"
"@6";"Simonetta Sommaruga";"Bundesrätin";"Ja";"Diskutant";"+1"
"@7";"Jean-Michel Cina";"Präsident Konferenz der Kantonsregierungen";"Ja";"Diskutant";"+2"
"@8";"Mario Gattiker";"Direktor Bundesamt für Migration";"Ja";"Experte";"aussen"
"@9";"Michelle Kummli";"SVP/AG";"Ja";"Zuschauer";"aussen"
"@10";"Res Schmid";"Regierungsrat NW/SVP";"Ja";"Zuschauer";"aussen"
"@11";"Valentin Vogt";"Präsident Arbeitgeberverband";"Ja";"Zuschauer";"aussen"
"@12";"Reiner Eichenberger";"Wirtschaftsprofessor";"Ja";"Experte";"aussen"
"@13";"Heinz Brand";"Nationalrat SVP/GR";"Ja";"Zuschauer";"aussen"
"@14";"Verena Herzog";"Nationalrätin SVP/TG";"Ja";"Zuschauer";"aussen"
"@15";"Martin Landolt";"Präsident BDP";"Ja";"Zuschauer";"aussen"
"@16";"Christian Wasserfallen";"Nationalrat FDP Liberale/BE";"Ja";"Zuschauer";"aussen"
"@17";"Balthasar Glättli";"Nationalrat Grüne/ZH";"Ja";"Zuschauer";"aussen"
