"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-ernaehrungssicherheit"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Johann Schneider-Ammann";"Bundesrat";"Ja";"Diskutant";"-"
"@5";"Peter Grünenfelder";"Direktor Avenir Suisse";"Ja";"Diskutant";"-"
"@6";"Markus Ritter";"Präsident Schweizerischer Bauernverband";"Ja";"Diskutant";"-"
"@7";"Hans Egli";"Präsident EDU/ZH";"Ja";"Diskutant";"-"
"@8";"Kathrin Bertschy";"Nationalrätin GLP/BE";"Ja";"Diskutant";"-"
"@9";"Werner Salzmann";"Nationalrat SVP/BE";"Ja";"Diskutant";"-"
"@10";"Michael Hermann";"Politologe";"Ja";"Experte";"-"
