Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/abstimmungs-arena-initiative-ahv-plus
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Alain Berset;Bundesrat;Ja;Diskutant;-
@5;Paul Rechsteiner;Ständerat SP/SG;Ja;Diskutant;-
@6;Toni Brunner;Nationalrat SVP/SG;Ja;Diskutant;-
@7;Regula Rytz;Nationalrätin Grüne/BE;Ja;Diskutant;-
@8;Samira Marti;Geschäftsleitung Juso;Ja;Zuschauer;-
@9;Andri Silberschmidt;Präsident Jungfreisinnige Schweiz;Ja;Zuschauer;-
@10;Barbara Schmid-Federer;Nationalrätin CVP/ZH;Ja;Zuschauer;-
@11;Marco Medici;Seniorenrat;Ja;Zuschauer;-
@12;Michael Sahli;Redaktor/Moderator Radio SRF1;Ja;Andere;NA
