"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-gegenentwurf-velo-initiative"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Doris Leuthard";"Bundesrätin";"Ja";"Diskutant";"-"
"@5";"Roland Rino Büchel";"Nationalrat SVP/SG";"Ja";"Diskutant";"-"
"@6";"Jürg Scherrer";"ex-Nationalrat";"Ja";"Diskutant";"-"
"@7";"Manfred Bühler";"Nationalrat SVP/BE";"Ja";"Diskutant";"-"
"@8";"Silvan Amberg";"Unabhängigkeitspartei UP";"Ja";"Diskutant";"-"
"@9";"David Piras";"Les Routiers Suisses";"Ja";"Diskutant";"-"
"@10";"Roger Bartholdi";"Gemeinderat SVP/Zürich";"Ja";"Diskutant";"-"
"@11";"Matthias Aebischer";"Nationalrat SP";"Ja";"Diskutant";"-"
"@12";"Matthias Jauslin";"Nationalrat FDP/AG";"Ja";"Diskutant";"-"
"@13";"Rudolf Zumbühl";"TCS";"Ja";"Diskutant";"-"
"@14";"Stephanie Penher";"VCS";"Ja";"Diskutant";"-"
"@15";"Chantal Beck";"Schweizer Tourismusverband";"-";"-";"-"
"@16";"Charles De Secondat = Montesquieu";"Philosoph";"Nein";"Zitat";"-"
