"Trenner;""Person"";""Funktion"";""vorOrt"";""Rolle"";""Link"""
"@1 ;""Moderation"";""Hauptmoderator der Sendung"";""Ja"";""Moderator"";""https://www.srf.ch/sendungen/arena/wer-hat-angst-vor-5g-3"""
"@2;""Off-Stimme"";""Stimme zu Einspielern/Beiträgen etc."";""-"";""-"";""-"""
"@3;""Anderes"";""Nicht gesprochene Annotationen"";""-"";""-"";""-"""
"@4;""Dalith Steiger"";""Mitgründerin SwissCognitive"";""Ja"";""Diskutant"";""-"""
"@5;""Thierry Burkart"";""Nationalrat FDP/AG"";""Ja"";""Diskutant"";""-"""
"@6;""Balthasar Glättli"";""Nationalrat Grüne/ZH"";""Ja"";""Diskutant"";""-"""
"@7;""Peter Kirchschläger"";""Professor theologische Ethik"";""Ja"";""Diskutant"";""-"""
"@8;""Marianne Janik"";""CEO Microsoft Schweiz"";""Ja"";""Zuschauer"";""-"""
"@9;""Martin Röösli"";""Professor für Umweltepidemiologie"";""Ja"";""Zuschauer"";""-"""
"@10;""Kevin Schawinski"";""Astrophysiker"";""Ja"";""Zuschauer"";""-"""
"@11;""Martin Zahnd"";""Vorstand Verein Schutz vor Strahlung"";""Ja"";""Zuschauer"";""-"""
"@12;""Edith Loosli"";""Rentnerin"";""Ja"";""Zuschauer"";""-"""
"@13;""Stephan Netzle"";""Präsident ComCom"";""Nein"";""via Telefon"";""-"""
"@14;""Moritz Geilinger"";""Doktorand Robotik ETH Zürich"";""Ja"";""Experte"";""-"""
