"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/wer-rettet-meine-rente"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Ruth Dreifuss";"ex-Bundesrätin";"Ja";"Diskutant";"-"
"@5";"Gerold Bührer";"ex-Präsident Economiesuisse";"Ja";"Diskutant";"-"
"@6";"Rudolf Strahm";"Ökonom";"Ja";"Diskutant";"-"
"@7";"Monika Bütler";"Wirtschaftsprofessorin";"Ja";"Diskutant";"-"
"@8";"Bruno Walliser";"Nationalrat SVP";"Ja";"Zuschauer";"-"
"@9";"Martin Candinas";"Nationalrat CVP";"Ja";"Zuschauer";"-"
"@10";"Margrith Glauser";"Rentnerin";"Ja";"Zuschauer";"-"
"@11";"Rolf Zedi";"Rentner";"Ja";"Zuschauer";"-"
"@12";"David Zbinden";"Finanzplaner";"Ja";"Zuschauer";"-"
"@13";"Brigitte Schäfer";"Coach";"Ja";"Zuschauer";"-"
